LOCAL,ANO,LINHAGEM,ENV,GEN,BLOCO,GY
RP IRRIGADO,2018,BRS 264,E1,G1,1,5862.89741668046
RP IRRIGADO,2018,BRS 264,E1,G1,2,4188.82962052414
RP IRRIGADO,2018,BRS 264,E1,G1,3,5997.38466133333
RP IRRIGADO,2018,CD 151,E1,G2,1,4722.54150267586
RP IRRIGADO,2018,CD 151,E1,G2,2,5727.60782822989
RP IRRIGADO,2018,CD 151,E1,G2,3,5468.55896275862
RP IRRIGADO,2018,ORS 1403,E1,G3,1,4500
RP IRRIGADO,2018,ORS 1403,E1,G3,2,4700
RP IRRIGADO,2018,ORS 1403,E1,G3,3,4800
RP IRRIGADO,2018,TBIO ATON,E1,G4,1,4722.54150267586
RP IRRIGADO,2018,TBIO ATON,E1,G4,2,5727.60782822989
RP IRRIGADO,2018,TBIO ATON,E1,G4,3,5468.55896275862
RP IRRIGADO,2018,TBIO DUQUE,E1,G5,1,4500
RP IRRIGADO,2018,TBIO DUQUE,E1,G5,2,4600
RP IRRIGADO,2018,TBIO DUQUE,E1,G5,3,4550
RP IRRIGADO,2018,VI 09004,E1,G6,1,5050.04201371954
RP IRRIGADO,2018,VI 09004,E1,G6,2,5954.5629417931
RP IRRIGADO,2018,VI 09004,E1,G6,3,5829.36575650575
RP IRRIGADO,2018,VI 09007,E1,G7,1,5317.15037756322
RP IRRIGADO,2018,VI 09007,E1,G7,2,5330.9254486069
RP IRRIGADO,2018,VI 09007,E1,G7,3,6175.6852864
RP IRRIGADO,2018,VI 09031,E1,G8,1,5102.31155685517
RP IRRIGADO,2018,VI 09031,E1,G8,2,4866.51713886897
RP IRRIGADO,2018,VI 09031,E1,G8,3,5806.92717546667
RP IRRIGADO,2018,VI 09037,E1,G9,1,4754.5631337931
RP IRRIGADO,2018,VI 09037,E1,G9,2,4645.71933782069
RP IRRIGADO,2018,VI 09037,E1,G9,3,7700.85069484138
RP IRRIGADO,2018,VI 130679,E1,G10,1,4819.47184551724
RP IRRIGADO,2018,VI 130679,E1,G10,2,4495.86134962759
RP IRRIGADO,2018,VI 130679,E1,G10,3,5335.293264
RP IRRIGADO,2018,VI 130755,E1,G11,1,4006.01693848276
RP IRRIGADO,2018,VI 130755,E1,G11,2,4906.05285487816
RP IRRIGADO,2018,VI 130755,E1,G11,3,4146.04396137931
RP IRRIGADO,2018,VI 130758,E1,G12,1,3812.59348509425
RP IRRIGADO,2018,VI 130758,E1,G12,2,4133.332672
RP IRRIGADO,2018,VI 130758,E1,G12,3,4073.02166068966
RP IRRIGADO,2018,VI 131313,E1,G13,1,3932.66107913563
RP IRRIGADO,2018,VI 131313,E1,G13,2,3675.38368058851
RP IRRIGADO,2018,VI 131313,E1,G13,3,5452.25064893793
RP IRRIGADO,2018,VI 14001,E1,G14,1,4176.47058823529
RP IRRIGADO,2018,VI 14001,E1,G14,2,4509.80392156863
RP IRRIGADO,2018,VI 14001,E1,G14,3,4941.17647058824
RP IRRIGADO,2018,VI 14022,E1,G15,1,6210.94784555402
RP IRRIGADO,2018,VI 14022,E1,G15,2,5950.68644928736
